,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
0,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,6.762739658355713,0.002201412571594119,0.29657676815986633,100
1,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,3.0868358612060547,0.0010048294207081199,0.20233625173568728,100
2,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,5.188057899475098,0.0016888208920136096,0.2803995907306671,100
3,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,5.734618663787843,0.0018667378462851048,0.2543754279613495,100
4,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,4.306020736694337,0.0014016994973644614,0.21513216197490687,100
5,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,5.178238391876222,0.0016856244765222073,0.24281831085681915,100
6,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,5.77293586730957,0.0018792109331116078,0.2820027470588684,100
7,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,4.5440711975097665,0.0014791898429393768,0.25182467699050903,100
8,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,1.6726942062377932,0.0005444968119263648,0.13802047073841095,100
9,gd,quadratic,mse,3.0,1024,5,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,20002,2000,4.409546852111816,0.0014353994047269225,0.18879209458827967,100
