,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
0,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4462.757568359375,0.13573713600635529,0.36000001430511475,100
1,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4476.43505859375,0.13445379585027695,0.18000000715255735,100
2,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4482.572998046875,0.1359582096338272,0.20000000298023224,100
3,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4495.9228515625,0.13282309472560885,0.18000000715255735,100
4,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4471.3291015625,0.1280261129140854,0.2199999988079071,100
5,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4551.10302734375,0.12697595357894895,0.30000001192092896,100
6,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4489.028076171875,0.13531779497861862,0.20000000298023224,100
7,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4451.97412109375,0.13697374612092972,0.25999999046325684,100
8,p-sgd,symmetric-door,logloss,15.0,1024,2,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,7680,10001,1000,4414.77197265625,0.13306906819343567,0.30000001192092896,100
0,p-sgd,symmetric-door,logloss,7.0,1024,2,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,3584,10001,1000,2021.2638549804688,0.13196513056755066,0.3799999952316284,100
1,p-sgd,symmetric-door,logloss,7.0,1024,2,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,3584,10001,1000,2060.925048828125,0.13441159576177594,0.3799999952316284,100
2,p-sgd,symmetric-door,logloss,7.0,1024,2,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,3584,10001,1000,2075.16357421875,0.13511275500059128,0.2800000011920929,100
3,p-sgd,symmetric-door,logloss,7.0,1024,2,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,3584,10001,1000,2059.0972900390625,0.12833033502101898,0.3799999952316284,100
4,p-sgd,symmetric-door,logloss,7.0,1024,2,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,3584,10001,1000,2054.0828857421875,0.1305137798190117,0.25999999046325684,100
