,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
0,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,37,5,38,41100,0.17269033193588254,0.6400589346885681
1,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,37,5,39,40800,0.16346976161003113,0.57026606798172
2,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,37,5,40,43500,0.15333066880702972,0.6364277601242065
3,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,37,5,41,46200,0.14505340158939362,0.5637961626052856
4,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,37,5,42,41500,0.17937415838241574,0.6576599478721619
0,gd,3.0,1024,2,3072,0.002,0.9,False,10000,0,100,37,5,38,13900,0.02064049430191517,0.09899682551622392
1,gd,3.0,1024,2,3072,0.002,0.9,False,10000,0,100,37,5,39,12100,0.0322025790810585,0.09897099435329436
2,gd,3.0,1024,2,3072,0.002,0.9,False,10000,0,100,37,5,40,27700,268.21405029296875,380.5929870605469
3,gd,3.0,1024,2,3072,0.002,0.9,False,10000,0,100,37,5,41,10200,0.032075244933366776,0.09988702833652496
4,gd,3.0,1024,2,3072,0.002,0.9,False,10000,0,100,37,5,42,82500,229.14048767089844,484.188232421875
0,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,33,18700,2.996251344680786,1.7872751951217651
1,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,34,8800,3.0897316932678223,1.5689940452575684
2,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,35,9900,2.3893513679504395,1.4019043445587158
3,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,36,6400,3.0758881568908687,2.210641622543335
4,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,37,13000,2.901160717010498,0.9775630235671996
5,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,38,5800,4.016103267669679,1.7021466493606567
6,gd,4.0,1024,2,4096,0.001,0.0,False,8000,0,100,32,10,39,7900,2.837242841720581,1.279180645942688
