,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
0,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,1806,27.226605892181396,0.10505276266485453,5.840358257293701
1,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,3385,28.409297466278076,0.11090918630361556,5.8358893394470215
2,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,2437,27.548073530197144,0.10480296518653633,5.24295711517334
3,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,3257,27.11583614349365,0.09940708056092262,14.763649940490724
4,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,2641,20.2859103679657,0.0804409384727478,7.181779384613037
5,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2483,25.223626375198364,0.09585494734346868,9.391561508178713
6,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,1469,30.54162359237671,0.12191101163625714,5.079797744750977
7,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,2818,30.177479982376102,0.12638033367693424,7.451583385467528
8,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,2064,22.997087001800537,0.09992269240319727,6.3135666847229
9,p-sgd,quadratic,mse,2.0,1024,1,256,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,2834,30.8370213508606,0.119279308244586,5.073707103729248
0,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,3817,2848.433837890625,0.6954184174537659,4.022657871246338
1,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,4079,3031.009765625,0.7399926185607909,4.984574794769287
2,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,5337,2970.72216796875,0.7252739667892456,4.550271034240723
3,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,4929,2671.4609375,0.6522121429443359,4.49379825592041
4,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,8041,3105.350830078125,0.7581422924995422,5.3962507247924805
5,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,3483,3184.23095703125,0.7774001359939575,5.646482467651367
6,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,4937,2847.947021484375,0.6952995657920837,5.521481990814209
7,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,6419,2903.880859375,0.7089552879333496,5.7172675132751465
8,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,10413,2802.015625,0.6840858459472656,5.481600761413574
9,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,6956,2814.67724609375,0.6871770620346069,3.1255199909210205
0,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,1571,7.926722310634835e-08,8.085624571120398e-09,4.431869983673097
1,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,1202,1.80370636944834e-08,2.191012143320453e-09,4.926168441772461
2,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,1420,9.796163603760355e-08,7.638466155886666e-09,4.268873214721681
3,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,1446,3.940856727366634e-08,3.501097560013969e-09,2.7695467472076416
4,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,1279,1.0473712327060033e-07,8.8815303753462e-09,4.658651828765869
5,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,1580,3.1407769027522484e-08,3.407287809922524e-09,5.637758255004883
6,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,1450,8.880862109903217e-08,7.001010216001192e-09,5.800614833831787
7,p-sgd,quadratic,mse,0.1,1024,1,12,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,1384,7.725606347245655e-08,4.907682605982522e-09,3.808065176010132
