,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
0,quadratic,1024,-1.0,14070,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,23,22,0.6744899999999999,2.0,0.0009722223621793091,7.69352300267201e-06,0.008147737476974726,0
1,quadratic,1024,-1.0,22360,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,24,22,0.6744899999999999,2.0,0.0009828759357333183,2.399006098130485e-05,0.024685773067176345,0
2,quadratic,1024,-1.0,21383,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,25,22,0.6744899999999999,2.0,0.0009858888806775212,1.1273895779595478e-05,0.0110540259629488,0
3,quadratic,1024,-1.0,18805,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,26,22,0.6744899999999999,2.0,0.0009914173278957603,0.004540382418781519,4.727632761001587,0
4,quadratic,1024,-1.0,22436,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,27,22,0.6744899999999999,2.0,0.0009909735526889565,0.0033630446996539827,3.3263607025146484,0
5,quadratic,1024,-1.0,22941,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,28,22,0.6744899999999999,2.0,0.0009874344104900956,0.00247711013071239,2.548300862312317,0
6,quadratic,1024,-1.0,19214,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,29,22,0.6744899999999999,2.0,0.000977098592557013,0.0025457685114815827,2.5876479148864746,0
7,quadratic,1024,-1.0,18859,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,30,22,0.6744899999999999,2.0,0.0009621705394238235,1.959380733751459e-05,0.0197175070643425,0
8,quadratic,1024,-1.0,17430,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,31,22,0.6744899999999999,2.0,0.0009724654955789447,2.318815495527815e-05,0.024612244218587875,0
9,quadratic,1024,-1.0,13107,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,2.0,32,22,0.6744899999999999,2.0,0.0009815898956730964,0.0021791347535327077,2.1561587452888493,0
0,quadratic,256,,1806,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,23,22,0.6744899999999999,1.0,5.840358257293701,0.10505276266485453,27.226605892181396,0
1,quadratic,256,,3385,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,24,22,0.6744899999999999,1.0,5.8358893394470215,0.11090918630361556,28.409297466278076,0
2,quadratic,256,,2437,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,25,22,0.6744899999999999,1.0,5.24295711517334,0.10480296518653633,27.548073530197144,0
3,quadratic,256,,3257,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,26,22,0.6744899999999999,1.0,14.763649940490724,0.09940708056092262,27.11583614349365,0
4,quadratic,256,,2641,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,27,22,0.6744899999999999,1.0,7.181779384613037,0.0804409384727478,20.2859103679657,0
5,quadratic,256,,2483,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,28,22,0.6744899999999999,1.0,9.391561508178713,0.09585494734346868,25.223626375198364,0
6,quadratic,256,,1469,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,29,22,0.6744899999999999,1.0,5.079797744750977,0.12191101163625714,30.54162359237671,0
7,quadratic,256,,2818,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,30,22,0.6744899999999999,1.0,7.451583385467528,0.12638033367693424,30.177479982376102,0
8,quadratic,256,,2064,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,31,22,0.6744899999999999,1.0,6.3135666847229,0.09992269240319727,22.997087001800537,0
9,quadratic,256,,2834,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,2.0,32,22,0.6744899999999999,1.0,5.073707103729248,0.119279308244586,30.8370213508606,0
0,quadratic,4096,,3817,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,23,22,0.6744899999999999,1.0,4.022657871246338,0.6954184174537659,2848.433837890625,0
1,quadratic,4096,,4079,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,24,22,0.6744899999999999,1.0,4.984574794769287,0.7399926185607909,3031.009765625,0
2,quadratic,4096,,5337,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,25,22,0.6744899999999999,1.0,4.550271034240723,0.7252739667892456,2970.72216796875,0
3,quadratic,4096,,4929,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,26,22,0.6744899999999999,1.0,4.49379825592041,0.6522121429443359,2671.4609375,0
4,quadratic,4096,,8041,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,27,22,0.6744899999999999,1.0,5.3962507247924805,0.7581422924995422,3105.350830078125,0
5,quadratic,4096,,3483,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,4.0,28,22,0.6744899999999999,1.0,5.646482467651367,0.7774001359939575,3184.23095703125,0
