,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,tau,seed,epoch,train error,test error
0,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,23,20002,9.841927957105716e-05,0.04247250407934189
1,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,24,20002,0.00012100592357455751,0.05469570681452751
2,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,25,20002,9.655803218525502e-05,0.042786527425050735
3,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,26,20002,9.560623272721256e-05,0.04227083176374435
4,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,27,20002,9.664959153659376e-05,0.046793237328529365
5,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,28,20002,0.00011403163262002637,0.05218885838985443
6,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,29,20002,0.00010318327986169605,0.04738020896911621
7,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,30,20002,0.00010889323181930063,0.046393807977437966
8,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,31,20002,9.743565819267784e-05,0.04640895500779152
9,sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,32,20002,0.00010170601957984868,0.046546999365091324
0,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,23,20002,0.00011452353919594316,2.4746015071868896
1,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,24,20002,5.3901038882031564e-05,2.424273729324341
2,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,25,20002,9.10040917005972e-05,2.823004961013794
3,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,26,20002,0.0001358884564979235,2.975165367126465
4,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,27,20002,9.000710133477696e-05,3.0479090213775635
5,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,28,20002,0.00012147351708335918,3.2046031951904297
6,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,29,20002,0.0001151298129116185,2.2856459617614746
7,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,30,20002,8.117154493447741e-05,2.813504934310913
8,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,31,20002,7.468640797014814e-05,2.618624687194824
9,p-sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,32,20002,6.973113886488136e-05,2.793752670288086
0,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,33,20002,5.4185855484926534e-05,0.09105981141328813
1,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,34,20002,0.00010150189882551786,0.18048427999019626
2,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,35,20002,9.425117696082452e-05,0.15690094232559204
3,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,36,20002,6.54030359328317e-05,0.13521522283554074
4,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,37,20002,7.06575192452874e-05,0.105695940554142
5,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,38,20002,5.5502459720931555e-05,0.08135990798473358
6,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,39,20002,4.81692366823457e-05,0.06891525536775589
7,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,40,20002,5.139939851990979e-05,0.0769934132695198
8,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,41,20002,5.846938650696151e-05,0.07844841480255127
9,sgd,3.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,42,20002,5.790820614492986e-05,0.06527368724346161
0,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,33,20002,5.178653123039112e-05,2.608825445175171
1,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,34,20002,7.942377283143287e-05,2.5776174068450928
2,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,35,20002,0.00010695011633288233,3.2702724933624268
3,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,36,20002,6.121233536759975e-05,2.640413761138916
4,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,37,20002,9.322258711108587e-05,2.5648763179779053
5,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,38,20002,0.000128763163502299,2.9515671730041504
6,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,39,20002,7.77389248014515e-05,2.389739513397217
7,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,40,20002,9.13893732104043e-05,2.7296974658966064
8,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,41,20002,0.0001195478612316947,2.677708625793457
9,sgd,2.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,42,20002,0.00010635165472194784,2.569899320602417
0,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,23,20002,0.00011502169685887308,0.04474782571196556
1,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,24,20002,9.721335066257909e-05,0.05353645235300064
