,optim,train,features,hidden,size,lr,momentum,nesterov,epochs,decay,test,seed,runs,seed,epoch,train loss,test loss
0,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,6,100800,0.010899285785853864,0.06616200506687164
1,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,7,100800,0.01153621356934309,0.06974779069423677
2,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,8,100800,0.011366598308086395,0.07421678304672241
3,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,9,100800,0.01213420368731022,0.07382504642009735
4,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,10,100800,0.010681042447686195,0.06787790358066559
5,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,11,100800,0.010967900976538658,0.0644284337759018
6,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,12,100800,0.012457463890314102,0.08696671575307846
7,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,13,100800,0.01109272800385952,0.06139113008975983
8,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,14,100800,0.01033878605812788,0.06137733533978462
9,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,15,100800,0.011189378798007963,0.06968826055526732
10,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,16,100800,0.011937854811549187,0.07225537300109862
11,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,17,100800,0.011231275275349615,0.07168659567832948
12,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,18,100800,0.0111971078440547,0.0729307308793068
13,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,19,100800,0.010132482275366785,0.05805421620607376
14,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,20,100800,0.010832803323864935,0.0661822110414505
15,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,21,100800,0.011373607441782951,0.0696823000907898
16,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,22,100800,0.011482958681881428,0.07137192785739899
