,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
0,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2041,8.012945592403412,0.0,0.8999999761581421
1,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,2131,8.003319919109343,0.0,0.9399999976158142
2,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,2884,7.735227465629578,0.0,0.7200000286102295
3,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,1941,7.894423484802246,0.0,1.0399999618530271
4,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,5370,7.387581586837768,0.0,0.8600000143051147
5,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,5234,7.083691239356995,0.0,0.959999978542328
6,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,9989,6.690641343593597,0.0,0.8600000143051147
7,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,10231,7.096949458122253,0.0,0.9399999976158142
8,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,4003,7.424453258514403,0.0,0.7400000095367432
9,sgd,symmetric-door,square,1.0,1024,1,128,0.002,0.9,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,5294,6.041769802570343,0.0,1.0
0,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,3290,32.5845742225647,0.0,0.9800000190734864
1,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,2520,36.57358487447103,0.058839153187970325,0.959999978542328
2,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3492,32.876538594563804,0.10345513621966043,1.0599999427795408
3,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,2335,38.8983949025472,0.12008432857692243,1.100000023841858
4,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,3961,32.224668184916176,0.06315533599505822,0.959999978542328
5,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,2320,35.07139174143473,0.08943096703539292,0.959999978542328
6,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,4391,37.073563575744636,0.041643314063549035,1.0800000429153442
7,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,1704,43.77352174123129,0.07759654925515254,1.0199999809265137
8,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,3915,32.98888285954793,0.08729501689473787,1.0
9,p-sgd,symmetric-door,logloss,1.5,1024,1,128,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2615,39.32452074686686,0.09895461114744346,1.1200000047683716
0,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,33,1e-08,1.0,0.5,0,20002,64.15123872756958,0.426953125,0.8799999952316284
1,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,34,1e-08,1.0,0.5,0,20002,65.36855239868164,0.431640625,0.8799999952316284
2,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,35,1e-08,1.0,0.5,0,20002,63.71851806640625,0.42578125,0.8000000119209291
3,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,36,1e-08,1.0,0.5,0,20002,64.72323341369629,0.4390625,0.8999999761581421
4,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,37,1e-08,1.0,0.5,0,20002,64.24538240432739,0.430078125,0.8799999952316284
5,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,38,1e-08,1.0,0.5,0,20002,65.65651712417602,0.446484375,0.7799999713897705
6,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,39,1e-08,1.0,0.5,0,20002,63.68424739837646,0.424609375,0.7599999904632568
7,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,40,1e-08,1.0,0.5,0,20002,64.24534254074096,0.444921875,0.9399999976158142
8,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,41,1e-08,1.0,0.5,0,20002,62.820676231384276,0.4140625,0.7599999904632568
9,sgd,symmetric-door,logloss,5.0,1024,1,128,0.005,0.0,False,2000,100,32,10,42,1e-08,1.0,0.5,0,20002,64.29175205230713,0.437890625,0.8799999952316284
0,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2619,1417.4461669921875,0.5009765625,0.8999999761581421
1,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,1365,1418.2423095703125,0.50390625,1.2200000286102295
2,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,1706,1396.848876953125,0.49072265625,0.8000000119209291
3,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2073,1394.286376953125,0.4833984375,0.959999978542328
4,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,2980,1441.390869140625,0.51708984375,0.959999978542328
5,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,1693,1423.7498779296875,0.49755859375,1.0800000429153442
6,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,2291,1417.732666015625,0.47509765625,1.0800000429153442
7,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,1741,1427.4459228515625,0.49462890625,1.0
8,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,1285,1452.2410888671875,0.52001953125,1.0399999618530271
9,gd,symmetric-door,square,4.0,1024,1,4096,0.002,0.9,True,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,2532,1432.248291015625,0.50732421875,1.0599999427795408
0,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2704,24.691896587610245,0.08693050648435019,0.14000000059604645
1,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,4738,25.43808379769325,0.09486042568460107,0.1599999964237213
2,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,1309,23.740085661411285,0.09059602610068396,0.1599999964237213
3,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2809,24.873162925243374,0.08418565767351538,0.1599999964237213
4,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,2113,24.714499533176426,0.09121596021577716,0.14000000059604645
5,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2334,25.64201444387436,0.07910461988649331,0.18000000715255735
6,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,2772,24.39079400897026,0.09864016820210963,0.14000000059604645
7,p-sgd,symmetric-door,square,8.0,1024,1,128,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,2531,48.03181689977646,0.5486033926717937,1.0800000429153442
