,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
0,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,149,1.5990855495134992,0.0,0.9800000190734864
1,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,120,2.0599745512008667,0.0,0.9200000166893004
2,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,182,1.2567782931857638,0.0,0.959999978542328
3,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,220,1.2500644392437406,0.0,0.8399999737739563
4,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,144,1.7746498849656849,0.0,1.1399999856948853
5,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,158,1.6789621644549901,0.0,0.9200000166893004
6,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,221,1.1736067599720426,0.0,1.1399999856948853
7,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,193,1.4381081793043349,0.0,1.0599999427795408
8,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,162,1.3700995180341933,0.0,1.0399999618530271
9,sgd,symmetric-door,square,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,160,1.7335442834430268,0.0,1.1200000047683716
0,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,1761,168.26238250732422,0.11294106859713793,0.2199999988079071
1,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,2700,159.1624336242676,0.09368978347629307,0.3799999952316284
2,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3256,156.66428565979004,0.08074452448636292,0.36000001430511475
3,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,2157,172.38295936584473,0.10838139057159424,0.2800000011920929
4,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,4624,156.33856391906738,0.07834391202777624,0.30000001192092896
5,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,2368,166.72409057617188,0.0890989089384675,0.2199999988079071
6,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,2103,153.3228054046631,0.09648013394325973,0.2800000011920929
7,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,1786,173.57838821411133,0.11098935455083847,0.30000001192092896
8,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,2154,161.95977592468262,0.10071555245667696,0.3400000035762787
9,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,1974,157.87323379516604,0.08055737521499395,0.30000001192092896
0,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,3265,32.035671472549446,0.0,0.9399999976158142
1,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,3868,31.8819363117218,0.0,0.9399999976158142
2,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3354,31.485561847686768,0.0,0.9200000166893004
3,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,3073,32.22092747688293,0.0,0.8600000143051147
4,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,2577,32.793488264083855,0.0,1.0
5,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,3490,31.460158348083496,0.0,0.8999999761581421
6,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,3499,31.510653734207157,0.0,0.9399999976158142
7,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,3676,31.596778392791748,0.0,1.0599999427795408
8,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,2866,33.92804193496704,0.0,0.9800000190734864
9,sgd,symmetric-door,logloss,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2589,33.02531385421753,0.0,0.9800000190734864
0,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,293,3.9709378613366018,0.0,0.9800000190734864
1,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,275,4.3074564933776855,0.0,1.0
2,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,248,4.315734465916951,0.0,1.0800000429153442
