,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
0,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0478515625,0.09169922024011612,0.07999999821186066
1,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.044921875,0.09121093899011612,0.07999999821186066
2,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0625,0.09140624850988388,0.07999999821186066
3,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0771484375,0.09208984673023224,0.07999999821186066
4,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.06640625,0.09189452975988388,0.07999999821186066
5,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0810546875,0.09160156548023224,0.07999999821186066
6,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0634765625,0.09150390326976776,0.07999999821186066
7,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0703125,0.09160156548023224,0.07999999821186066
8,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0615234375,0.09160156548023224,0.07999999821186066
9,gd,symmetric-door,logloss,20.0,1024,1,20480,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,10138.0380859375,0.09169922024011612,0.07999999821186066
0,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,817,88.50320434570312,0.0,0.8600000143051147
1,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,963,87.94158935546875,0.0,0.7599999904632568
2,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,1008,87.4005012512207,0.0,0.9800000190734864
3,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,891,86.73178482055664,0.0,0.9399999976158142
4,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,833,85.58226776123047,0.0,1.0199999809265137
5,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,588,88.73433303833008,0.0,0.9200000166893004
6,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,703,91.69053268432616,0.0,1.0599999427795408
7,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,654,87.14632797241211,0.0,1.0399999618530271
8,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,804,88.90217971801758,0.0,0.8799999952316284
9,p-sgd,symmetric-door,logloss,0.5,1024,1,256,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,1104,90.70733642578124,0.0,1.0399999618530271
0,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,498.8743591308594,0.4537760466337204,1.0599999427795408
1,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,483.2095336914063,0.4303385466337204,1.1399999856948853
2,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,461.6123046875,0.40234375,0.8999999761581421
3,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,495.4275360107422,0.4583333283662796,1.1599999666213991
4,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,477.3570861816406,0.43359375,0.8399999737739563
5,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,485.0432586669922,0.4348958283662796,0.8600000143051147
