,optim,train,features,hidden,size,lr,momentum,nesterov,epochs,decay,test,seed,runs,seed,epoch,train loss,test loss
0,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,6,28000,503.1076965332031,3235.6416015625
1,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,7,28000,3.0866499400872266e-07,2.362132818234386e-06
2,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,8,28000,2.9135972567928553e-07,2.079362275253516e-06
3,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,9,28000,468.341552734375,2532.386474609375
4,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,10,28000,2.8899324888698175e-07,2.297670562256826e-06
5,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,11,28000,2.892856798553112e-07,2.10700204661407e-06
6,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,12,28000,3.1628803753847023e-07,2.327658194190008e-06
7,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,13,28000,500.2075805664063,2916.2958984375
8,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,14,28000,533.8582763671875,2955.83154296875
9,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,15,28000,2.946304675788269e-07,2.247119482490234e-06
10,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,16,28000,2.9631601705659705e-07,2.2481583528133338e-06
11,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,17,28000,463.8634643554688,3071.619140625
12,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,18,28000,469.641845703125,2281.40283203125
13,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,19,28000,3.101637275904068e-07,2.1732043933297973e-06
14,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,20,28000,5.523213076230604e-06,4.4666448957286775e-05
15,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,21,28000,2.8144438601884763e-07,2.1189000563026643e-06
16,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,22,28000,456.8540649414063,2745.28076171875
17,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,23,28000,3.042093226213183e-07,2.2526694465341284e-06
18,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,24,28000,419.8610229492188,2425.37744140625
19,gd,600,128,1,600,0.0002,0.0,False,4000,0,600,5,20,25,28000,528.1926879882811,2671.764892578125
0,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,6,64000,2.2165847894939357e-06,1.179946048068814e-05
1,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,7,64000,1031.4776611328123,3828.09814453125
2,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,8,64000,901.041015625,4132.7900390625
3,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,9,64000,2.067770083158393e-06,1.177660215034848e-05
4,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,10,64000,1.9029429267902744e-06,1.1310619811411016e-05
5,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,11,64000,2.2064457425585715e-06,1.1967030332016291e-05
6,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,12,64000,861.5131225585938,3636.348876953125
7,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,13,64000,1098.4375,3874.414794921875
